Othnielia|oth-ni-ee-lee-a|[for] Othniel [Marsh]|Marsh|1877
Staurikosaurus|stor-ik-oh-sore-us|Southern Cross lizard|Colbert|1970
Coelophysis|seel-OH-fie-sis|hollow form||
Gobisaurus|goh-bee-sore-us|Gobi lizard|Vickaryous, Russell, Currie and Zhao|2001
Prosaurolophus|proh-sore-oh-lof-us|before lizard crest [Saurolophus]|Brown|1916
Harpymimus|har-pi-miem-us|harpy mimic|Barsbold and Perle|1984
Chasmosaurus|KAZ-mo-sore-us|chasm lizard||
Avaceratops|ay-va-ker-ah-tops|Ava's horned face|Dodson|1986
Torvosaurus|TOR-voh-SORE-us|savage lizard|Galton and Jensen|1979
Lapparentosaurus|la-pah-rent-oh-sore-us|Lapparent's lizard|Bonaparte|1986
Diceratops|die-ker-ah-tops|two-horned face|Lull|1905
Jobaria|joh-bahr-ee-uh|Jobar (mythical animal)|Sereno, Beck, Dutheil, Larsson, Lyon, Moussa, Sadleir, Sidor, Varricchio, Wilson and Wilson|1999
Daspletosaurus|da-PLEE-toe-SORE-us|frightful lizard|Russell|1970
Thecodontosaurus|theek-o-don-toh-sore-us|socket-toothed lizard|Morris|1843
Nanotyrannus|nan-oh-tie-ran-us|tiny tyrant|Gilmore|1946
Saurornithoides|sore-OR-nith-OID-eez|bird-like lizard|Osborn|1924
Chialingosaurus|jyah-ling-oh-sore-us|Jialing [River] lizard|Young|1959
Ammosaurus|ah-moh-SORE-us|sand lizard|Marsh|1891
Yinlong|yin-long|hidden dragon|Xu, Forster, Clark and Mo|2006
Sarcosaurus|sahr-koh-sore-us|flesh lizard|Andrews|1921
Compsognathus|Komp-sog-NATH-us|pretty jaw|Wagner|1859
Aralosaurus|ar-al-oh-sore-us|Aral lizard|Rozhdestvensky|1968
Camarasaurus|KAM-ar-a-sore-us|chambered lizard|Cope|1877
Platyceratops|plat-ee-serra-tops|flat horned face|Alifanov|2003
Ornitholestes|Or-nith-oh-LES-teez|bird robber|Osbourne|1933
Struthiomimus|STRUTH-ee-oh-MEEM-us|ostrich mimic|Osborn|1917
Hylaeosaurus|HIGH-lee-oh-sore-us|woodland lizard|Mantell|1833
Patagosaurus|pat-ag-oh-sore-us|Patagonian lizard|Bonaparte|1979
Majungatholus|mah-joong-gah-thol-us|Majunga dome|Sues & Taquet|1979
Shantungosaurus|shan-TUN-go-sore-us|Shantung (=Shandong) lizard|Hu|1973
Dromaeosaurus|DROM-ee-oh-saw-russ|running lizard|Matthew and Brown|1922
Parasaurolophus|pa-ra-saw-ROL-off-us|like 'Saurolophus'|Parks|1922
Antarctosaurus|Ant-ARK-toe-sore-us|non-northern lizard|von Huene|1929
Segnosaurus|SEG-no-SORE-us|slow lizard|Perle|1979
Tanius|tahn-ee-us|[H. C.] Tan|Wiman|1929
Nemegtosaurus|Nem-egg-tow-sore-us|Nemegt lizard|Nowinski|1971
Giganotosaurus|gig-an-OH-toe-SORE-us|giant southern lizard|Coria and Salgado|1995
Becklespinax|beck-el-spien-aks|Beckles' "spinax"|Paul|1988
Goyocephale|goy-oh-keff-ah-lee|decorated head|Perle, Maryańska and Osmólska|1982
Caudipteryx|caw-dip-ter-iks|tail feather|Ji, Currie, Norell and Ji.|1998
Alvarezsaurus|al-var-rez-SORE-us|Alvarez's lizard|Bonaparte|1991
Dravidosaurus|dra-vid-oh-sore-us|Dravidanadu lizard|Yadagiri and Ayyasami|1979
Unenlagia|oon-en-lahg-ee-ah|half bird|Novas and Puerta|1997
Chindesaurus|chin-dee-sore-us|Chinde lizard|Long and Murry|1995
Dracorex|dray-ko-rex|Dragon king|Bakker, Sullivan, Porter, Larson and Saulsbury|2006
Chubutisaurus|choo-boot-i-sore-us|Chubut [Province] lizard|Corro|1974
Thescelosaurus|thes-kel-oh-SORE-us|wonderful lizard|Gilmore|1913
Oviraptor|OH-vee-RAP-tor|egg thief|Osborn|1924
Indosuchus|in-doh-sook-us|Indian crocodile|Huene and Matley|1933
Neuquenosaurus|nayoo-ken-oh-sore-us|Neuquén lizard|Lydekker|1893
Supersaurus|sue-per-sore-us|super lizard|Jansen|1985
Euoplocephalus|you-OH-plo-kef-ah-luss|well-armoured head||
Liaoxiornis|lyow-shee-or-nis|Liaoxi bird|Hou and Chen|1999
Stygimoloch|stij-i-mol-ok|Styx demon|Galton and Sues|1983
Velociraptor|vel-OSS-ee-rap-tor|quick plunderer|Osborn|1924
Archaeopteryx|ark-ee-OPT-er-ix|ancient wing|Mayer|1861
Parksosaurus|PARKS-oh-SORE-us|Park's lizard|Sternberg|1937
Corythosaurus|koh-rith-OH-sore-us|Corinthian helmet lizard|Brown|1914
Citipati|chit-i-puh-tih|lord of the funeral pyre|Clark, Norell and Barsbold|2001
Azendohsaurus|ah-zen-doh-sore-us|Azendoh lizard|Dutuit|1972
Einiosaurus|ie-nee-oh-sore-us|bison lizard|Sampson|1995
Archaeornithomimus|Ark-ee-orn-ith-oh-meem-us|ancient bird mimic|Russell|1972
Lophostropheus|lof-oh-stro-fee-us|crested verebra|Ezcurra and Cuny 2007|1993
Dubreuillosaurus|dub-rhe-oo-oh-sore-us|(unknown)|Allain|2005
Masiakasaurus|mah-shee-ah-kah-sore-us|vicious lizard|Sampson, Carrano & Forster|2001
Avimimus|ah-vee-MEEM-us|bird mimic|Kurzanov|1981
Austrosaurus|aws-troh-sore-us|south lizard|Longman|1933
Yingshanosaurus|ying-shan-oh-sore-us|Mt. Ying lizard|Watanabe|1992
Marshosaurus|marsh-oh-sore-us|[Othniel Charles] Marsh lizard|Madsen|1976
Hypsilophodon|hip-sih-LOH-foh-don|high-ridge tooth|Huxley|1869
Diplodocus|DIP-low DOCK-us|double beam|Marsh|1878
Megalosaurus|MEG-ah-low-sore-us|big lizard|Ritgen|1826
Apatosaurus|ah-PAT-oh-sore-us|deceptive lizard|Marsh|1877
Pleurocoelus|ploor-oh-seel-us|hollow-sided [vertebrae]|Marsh|1888
